appid,name,developer,genres_steam,price,country
559100,Phantom Doctrine,CreativeForge Games,"Acción, Rol, Estrategia",39.99,España
356570,Party Hard,Pinokl Games,"Acción, Indie, Estrategia",1.95,España
278360,A Story About My Uncle,Gone North Games,"Aventura, Casual, Indie",14.99,Canadá
654710,Ashes,FurGoldGames,"Acción, Aventura, Indie",0.99,España
704880,Trident's Wake,Bacus Studios,"Acción, Indie",12.49,México
620590,Ancestors Legacy,Destructive Creations,Estrategia,8.74,España
897450,The Survivalists,Team17,"Acción, Aventura, Casual, Indie",24.99,Reino Unido
348550,GUILTY GEAR XX ACCENT CORE PLUS R,Arc System Works,Acción,14.99,Japón
12150,Max Payne 2: The Fall of Max Payne,Remedy Entertainment,Acción,14.99,Finlandia
526540,8infinity,ENTERi,"Acción, Casual, Indie",0.99,España
855160,VTree Beach Volleyball,VTree LLC,"Casual, Simuladores, Deportes",2.39,Estados Unidos
2144830,Voodolls,SideRift,"Acción, Estrategia",1.49,España
386940,Ultimate Chicken Horse,Clever Endeavour Games,"Acción, Casual, Indie",12.99,España
1180660,Tell Me Why,DONTNOD Entertainment,"Aventura, Free to Play",0.0,Francia
1145350,Hades II,Supergiant Games,"Acción, Indie, Rol",28.99,Estados Unidos
46360,Theatre of War 2: Kursk 1943,Fulqrum Publishing,"Simuladores, Estrategia",4.99,España
496690,Adventures On The Polluted Islands,Uncle Frost Team,"Aventura, Casual, Indie",2.99,Estados Unidos
1327080,Tower and Sword of Succubus,Libra Heart,"Acción, Aventura, Rol",10.79,Suiza
270550,Yet Another Zombie Defense,Awesome Games Studio,"Acción, Casual, Indie, Estrategia",0.0,España
880400,Lingering Fragrance,BLESTWORKS,"Aventura, Casual, Indie",3.29,Suiza
709410,AZURA,CUTE ANIME GIRLS,"Aventura, Casual, Indie, Rol, Estrategia",1.99,Japón
867700,The Wilting Amaranth,Reine Works,Casual,3.99,Japón
403660,Omnipresent,Starkey Industries,"Indie, Estrategia",3.99,Estados Unidos
2114990,Missile Command: Recharged,Adamvision Studios,Acción,8.99,España
1031320,Malevolence,ERMedia,Aventura,1.49,España
130,Half-Life: Blue Shift,Gearbox Software,Acción,4.99,México
10150,Prototype™,Radical Entertainment,"Acción, Aventura",19.99,Canadá
263480,Final Rush,Strike Games,"Acción, Indie",4.99,España
1324530,"Warhammer 40,000: Shootas, Blood & Teef",Rogueside,"Acción, Aventura",19.99,Estados Unidos
1426450,Age of Darkness: Final Stand,PlaySide,Estrategia,26.99,España
541380,PhysDrive,Royal Deal Games,"Acción, Indie, Carreras",0.99,Reino Unido
280140,Millennium - A New Hope,Aldorlea Games,"Aventura, Casual, Indie, Rol",9.99,España
378270,Putrefaction,Kazakov Oleg,"Acción, Indie",0.59,Rusia
284810,Nightmares from the Deep 3: Davy Jones,Artifex Mundi,"Aventura, Casual",0.0,España
1371690,GRAVEN,Slipgate Ironworks™,"Acción, Aventura, Rol",24.99,Estados Unidos
454180,CrazyCars3D,AneaGames,"Acción, Aventura, Casual, Indie, Carreras, Simuladores",2.99,España
257030,Project Nimbus: Complete Edition,GameCrafterTeam,"Acción, Indie",6.89,México
349060,Fruits Inc. Deluxe Pack,Manifesto Game Studio,"Casual, Indie",5.89,España
293960,Spice Road,Aartform Games,"Indie, Simuladores, Estrategia",1.67,Reino Unido
576050,Other Worlds India,SharF Co.,"Acción, Aventura, Casual, Indie",0.99,Suiza
1711840,Ninja Stealth 4,SC Jogos,"Casual, Indie, Estrategia",4.9,Brasil
1163740,Card Hog,SnoutUp,"Casual, Indie, Rol, Estrategia",5.89,Estados Unidos
284000,Putt-Putt® and Pep's Balloon-o-Rama,Humongous Entertainment,"Aventura, Casual",4.99,Estados Unidos
2129530,REANIMAL,Tarsier Studios,Aventura,39.99,España
779300,Battle of Kings,Battle of Kings Team,"Indie, Simuladores, Estrategia",5.69,Reino Unido
648120,Pixel Sketch,mimicryTeam,"Casual, Indie, Free to Play",0.0,España
359670,Vagrant Hearts 2,Warfare Studios,"Aventura, Casual, Indie, Rol",9.99,Irlanda
316970,The Waste Land,Fledermaus,"Acción, Aventura, Indie",9.99,Alemania
251370,Escape Goat,MagicalTimeBean,"Acción, Indie",4.99,España
698640,Deep Sky Derelicts,Snowhound Games,"Indie, Rol, Estrategia",19.99,España
306700,Iron Fisticle,Confused Pelican,"Acción, Indie",8.99,España
1323000,Space Court,Uphill Promise,"Indie, Rol",2.39,Suiza
1125830,Hyperspaced,Rarebyte,"Acción, Aventura, Indie",7.64,España
501500,Black Moon Chronicles,Cryo Interactive,Estrategia,5.99,España
1153070,Hentai Zodiac Puzzle 2,Zodiacus Games,"Casual, Indie",0.99,España
1122280,Witchcrafty,PigeonDev,"Acción, Aventura, Indie",8.19,España
2062430,BALL x PIT,Kenny Sun and Friends,"Acción, Indie",14.99,Estados Unidos
479150,BoX -containment-,Memorazer Production,"Casual, Indie",9.75,España
428510,Solitaire Christmas. Match 2 Cards,Creobit,"Acción, Aventura, Casual, Indie",14.79,España
680360,Regions Of Ruin,Gameclaw Studio,"Acción, Aventura, Indie, Rol",11.99,China
920490,Driver Booster for Steam,IObit,Utilidades,0.0,China
2153770,Coin Flipper,Simon Eftestol,"Casual, Indie",2.99,Noruega
508200,Bacon Tales - Between Pigs and Wolves,Uruca Game Studio,"Casual, Indie, Estrategia",1.99,Costa Rica
1111080,Ghost Feed,Hulu World,"Aventura, Indie",9.75,Estados Unidos
206420,Saints Row IV: Re-Elected,Deep Silver Volition,"Acción, Aventura",19.99,Alemania
507390,Gone In November,Florastamine,"Aventura, Indie",0.99,Suiza
375250,Pizza Express,Onni Interactive,"Casual, Indie, Rol, Simuladores, Estrategia",0.73,España
529500,ALONE? - VR,Deceptive Games Ltd.,"Acción, Aventura, Casual, Indie",2.95,Reino Unido
593200,The Adventures of Fei Duanmu 端木斐异闻录,致意,"Aventura, Indie",3.99,China
1896610,Edge of Reality: Lost Secrets of the Forest Collector's Edition,Friendly Fox,"Aventura, Casual",19.5,Reino Unido
529180,Dark and Light,Snail Games USA,"Acción, Aventura, Multijugador masivo, Rol, Simuladores, Acceso anticipado",14.99,Estados Unidos
655460,Hooligan Vasja: Halloween,Trident Game Studio,"Acción, Casual, Indie",0.99,España
533170,Don't Chat With Strangers,Bartosz Bojarowski,Indie,4.99,Polonia
243040,Startopia,My Little Planet Ltd,Simuladores,5.69,Reino Unido
362090,Siralim,Thylacine Studios,"Indie, Rol",9.75,Australia
1186640,Pumpkin Jack,Evil Raptor,"Acción, Aventura, Indie",3.59,España
358420,Xenophage: Alien Bloodsport,Argo Games,Acción,0.0,España
513570,Wooden House,GDNomaD,"Acción, Aventura, Indie",0.99,España
434920,Last Heroes 2,Warfare Studios,"Aventura, Casual, Indie, Rol",9.99,Irlanda
1822040,Marco Fuzoku [18+],Fuzoku Games,"Casual, Indie",0.64,Japón
1665250,Nightmare,アリス☆メイド,Rol,8.19,Japón
606880,GreedFall,Spiders,Rol,3.49,Reino Unido
1023740,7 Sexy Sins,Zai Studio,"Acción, Casual, Indie",1.59,España
296180,Iron Storm,Microids,"Acción, Aventura, Indie",2.99,Francia
233980,UnEpic,@unepic_fran,"Acción, Indie, Rol",12.99,España
2358720,Black Myth: Wukong,Game Science,"Acción, Aventura, Rol",59.99,Japón
15000,Tom Clancy's Rainbow Six Lockdown™,Red Storm Entertainment,Acción,1.24,Estados Unidos
603130,Masked Shooters,Nightbinder,"Acción, Indie",29.99,España
2626860,Dragon Eclipse,Fardust,"Acción, Aventura, Casual, Indie, Estrategia",12.79,Suiza
355370,Vidar,Razbury Games,"Aventura, Indie, Rol",9.99,España
777020,Mumps,MrSandman,"Casual, Indie",4.99,Estados Unidos
225000,Tomb Raider V: Chronicles (2000),Core Design,"Acción, Aventura",6.99,España
740570,illie,NedoStudio,"Casual, Indie",4.99,España
267530,The LEGO® Movie - Videogame,TT Fusion,"Acción, Aventura",19.99,España
222980,Dead Pixels,CSR-Studios,"Acción, Indie, Rol",2.99,España
420290,Blackwake,Mastfire Studios Pty Ltd,"Acción, Casual, Indie, Estrategia, Free to Play",0.0,Australia
628060,Romance of the Three Kingdoms X with Power Up Kit,"KOEI TECMO GAMES CO., LTD.",Estrategia,27.99,Japón
866010,Beat Stickman: Infinity Clones,Mini Fun Games,"Acción, Aventura, Casual, Indie, Simuladores",1.49,México
42120,Lead and Gold: Gangs of the Wild West,Fatshark,Acción,9.99,Reino Unido
1100970,Dancing Girl,Snow Girl,"Aventura, Casual, Indie, Rol",0.0,Suiza
399670,Game Corp DX,Endless Loop Studios,"Indie, Simuladores",2.99,España
780160,All Stars Racing Cup,Ink Syntax,"Casual, Carreras, Acceso anticipado",0.79,Suiza
1137350,Filament,Beard Envy,"Indie, Estrategia",16.49,Estados Unidos
223000,7 Wonders: Ancient Alien Makeover,MumboJumbo,"Casual, Estrategia",9.99,España
589380,VRog,ByteRockers' Games,"Acción, Indie",3.29,España
249050,Dungeon of the ENDLESS™,AMPLITUDE Studios,"Aventura, Indie, Rol, Estrategia",11.99,México
301680,Psichodelya,Ennoble Studios,"Acción, Indie",0.0,México
453270,Madness Cubed,epic dreams,"Acción, Aventura, Indie, Multijugador masivo, Simuladores",1.59,España
40800,Super Meat Boy,Team Meat,Indie,13.99,Estados Unidos
326120,Horizon Shift,Flump Studios,"Acción, Indie",4.99,España
263960,Wyv and Keep: The Temple of the Lost Idol,A Jolly Corpse,"Acción, Aventura, Indie",14.99,Estados Unidos
655370,Train Bandit,Rusty Moyher,"Acción, Indie",0.99,Estados Unidos
679740,Totally Mayhem,Mihai Morosanu,"Violencia, Indie",2.99,Rumanía
1612480,Heal Hitler,Jon Aegis,"Casual, Indie",4.99,España
359050,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,marbenx,"Acción, Indie, Simuladores",0.99,España
455710,Project RPG Remastered,Acuze Interactives,"Violencia, Sangrientos, Acción, Aventura, Indie, Rol",0.99,España
362290,The Living Dungeon,RadiationBurn,"Aventura, Indie, Simuladores, Estrategia",8.19,España
262810,Super Turbo Demon Busters!,HeroLabs,"Aventura, Indie",11.99,Israel
1335230,Sumire,GameTomo Team,"Aventura, Casual, Indie",5.89,México
963330,Nya Nya Nya Girls (ʻʻʻ)_(=^･ω･^=)_(ʻʻʻ),Zloy Krot Studio,"Casual, Indie",0.49,Rusia
610750,Games&Girls,Yume Creations,"Aventura, Casual, Indie",1.99,Japón
449450,SPLIT BULLET,IndigoBlue Game Studio,"Acción, Casual, Indie",3.99,España
233550,Another World – 20th Anniversary Edition,Eric Chahi,"Acción, Aventura",9.99,Francia
666290,Virus Z,Falco Software,"Acción, Aventura, Indie",2.99,España
416610,The Growth Journey,Cleverweek,"Acción, Aventura, Indie",3.99,España
365330,iaidoka_interlude,Blaze Epic,"Acción, Indie",0.99,Estados Unidos
15370,Heroes of Might & Magic V: Tribes of the East,Nival,Estrategia,2.49,España
289600,Marauder,Apeiron,"Rol, Estrategia",9.99,Suiza
677480,Outpost Zero,Symmetric Games,"Acción, Aventura, Indie, Simuladores",3.9,España
477310,Space Hole 2016,Sam Atlas,Indie,0.99,España
340030,Dungeon of gain,Defroids team,"Indie, Rol",0.49,España
1069230,月影魅像-解放之羽-,Applique,"Aventura, Casual",4.25,Francia
1069740,Seen,Seen Games,"Acción, Aventura, Indie, Acceso anticipado",0.99,Reino Unido
6000,STAR WARS™ Republic Commando™,LucasArts,Acción,9.75,Estados Unidos
706440,Cyborg Arena,Devdan Games,"Acción, Aventura, Casual, Indie, Carreras, Simuladores",4.99,España
564280,Adventuring Gentleman,Ernests Klavins,Acción,0.79,Letonia
453960,Envy the Dead,Kazakov Oleg,"Rol, Simuladores, Estrategia",0.59,Rusia
447180,My Secret Pets!,Dogenzaka Lab,Aventura,15.99,Japón
1557740,ROUNDS,Landfall,"Acción, Indie",2.74,Suiza
314450,Star Saviors,Sharpened Edge Studios,"Acción, Indie, Estrategia",0.99,México
277700,On Rusty Trails,Black Pants Studio,Indie,14.99,México
99900,Spiral Knights,Grey Havens,"Acción, Aventura, Casual, Indie, Multijugador masivo, Rol, Free to Play",0.0,España
961620,Flashback,Paul Cuisset,"Acción, Aventura",9.99,Francia
510360,Recession,Super Strong Games,"Acción, Indie, Acceso anticipado",1.59,Japón
271900,Hexcells Plus,Matthew Brown,"Casual, Indie, Estrategia",2.99,Reino Unido
357720,Inside My Radio,Seaven Studio,"Acción, Casual, Indie",14.79,España
1260320,Party Animals,Recreate Games,"Acción, Casual, Indie",17.99,España
287020,Harvester,DigiFX Interactive,Aventura,5.99,México
429610,The Emerald Maiden: Symphony of Dreams,Gogii Games,"Aventura, Casual",2.95,España
245450,Wizardry 8,Sir-Tech Canada,"Aventura, Rol",9.99,Canadá
1478160,咸鱼喵喵,赤瞳大白猫,"Acción, Aventura, Indie, Rol",6.59,Japón
1003520,Hentai Crush,Mature Games,"Casual, Indie, Simuladores",1.99,Reino Unido
486880,Abrix 2 Diamond version,EJRGames,"Casual, Indie, Estrategia",0.0,España
242980,Daikatana,Desconocido,Acción,5.99,Desconocido
367580,Hook,Maciej Targoni,"Casual, Indie",2.99,Polonia
665060,Triangulate,Left Flank Games,"Casual, Indie, Estrategia",1.99,Canadá
390520,PewDiePie: Legend of the Brofist,Outerminds Inc.,"Acción, Aventura, Indie",7.99,España
346850,Chip's Challenge 1,Niffler Ltd.,"Acción, Aventura, Estrategia, Free to Play",0.0,Irlanda
6810,Commandos: Beyond the Call of Duty,Pyro Studios,Acción,4.99,Suecia
337290,Still Not Dead,Glove Games,"Acción, Indie",4.99,Irlanda
8600,RACE 07,SimBin,Carreras,7.79,Reino Unido
1293730,Broken Pieces,Elseware Experience,"Acción, Aventura, Rol",9.49,España
32420,STAR WARS™: The Clone Wars - Republic Heroes™,Krome Studios,Acción,0.0,México
781930,Count Dookie Fart,Yak Studios LLC,"Casual, Indie",0.99,Estados Unidos
456430,Christmas Adventure: Candy Storm,Argali Entertainment,"Casual, Indie",1.99,Suiza
500340,QUACK ATTACK 1985: TURBO DX EDITION,ATTACK MOUNTAIN,"Acción, Indie",0.75,Suiza
508930,Mini Z Racers Turbo,Coolegion Studios,"Casual, Indie, Carreras",4.99,México
213670,South Park™: The Stick of Truth™,Obsidian Entertainment,"Acción, Aventura, Rol",7.49,España
523780,Emily is Away Too,Kyle Seeley,"Aventura, Casual, Indie, Rol, Simuladores",4.99,Reino Unido
766040,Gloom: Digital Edition,Sky Ship Studios,"Casual, Indie, Estrategia",6.99,México
450040,Stealth Labyrinth,Reddoll Srl,"Acción, Indie",2.99,Italia
462580,New Yankee in Santa's Service,Rionix,"Casual, Simuladores, Estrategia",4.99,Hong Kong
793220,A Fine Mess,Santima Games,"Aventura, Indie",2.39,España
263140,Postmortem: One Must Die (Extended Cut),Unbound Creations,"Aventura, Indie, Rol",2.99,Suiza
2394830,Snakedate,Young Horses: Free Range,"Acción, Casual, Indie",0.0,Estados Unidos
374900,Agatha Christie - The ABC Murders,Artefacts Studio,Aventura,14.99,España
1037930,Era of Miracles,Argentum Gaming,"Aventura, Rol",29.99,Chipre
809320,Silent Tweets,EasyGames,"Casual, Indie",2.99,China
243470,Watch_Dogs™,Ubisoft,"Acción, Aventura",4.99,Francia
301640,Zombie Army Trilogy,Rebellion,Acción,4.19,Reino Unido
317380,War on Folvos,Lonely Troops,"Indie, Estrategia",3.99,España
319760,Oh My Gore!,bumblebee.,"Indie, Estrategia",1.99,España
352780,An Octave Higher,Kidalang,"Aventura, Indie",11.99,España
1536980,Glass Masquerade 3: Honeylines,Onyx Lute,"Casual, Indie",4.99,España
245430,Wizardry 7: Crusaders of the Dark Savant,Sir-Tech,"Aventura, Rol",4.99,Estados Unidos
503240,Hurricane,Because I Can,"Acción, Aventura, Indie, Multijugador masivo, Rol, Acceso anticipado",0.79,Estados Unidos
1938090,Call of Duty®,Treyarch,Acción,0.0,Estados Unidos
254880,MoonBase Commander,Humongous Entertainment,Estrategia,5.89,Estados Unidos
348300,Chip's Challenge 2,Niffler Ltd.,"Acción, Aventura, Estrategia",3.99,Irlanda
397550,Deus Ex: Revision,Caustic Creative,"Acción, Aventura, Rol",0.0,España
1270620,Project Chemistry,Ata Türkoğlu,"Indie, Simuladores",12.79,Turquía
556870,Charlie's Adventure,EGAMER,"Acción, Aventura, Casual, Indie",0.49,Malta
666960,Cowboy's Adventure,Blender Games,"Acción, Aventura, Casual, Indie, Simuladores",1.99,España
555160,Pavlov,Vankrupt Games,"Acción, Indie",20.99,Reino Unido
2520,Gumboy - Crazy Adventures™,"CINEMAX, s.r.o.","Casual, Indie",2.49,RepúblicaCheca
46000,Bob Came in Pieces,Ludosity,"Aventura, Indie",9.75,Suiza
1090630,Granblue Fantasy: Versus,"Cygames, Inc.",Acción,19.99,Japón
355840,Survarium,Vostok Games,"Acción, Free to Play, Multijugador masivo, Rol, Acceso anticipado",0.0,Rusia
473480,Miko Mole,EnsenaSoft,"Acción, Aventura, Casual, Indie",4.99,México
330130,MAGIX Fastcut,MAGIX Software GmbH,Producción de vídeo,0.0,Alemania
397840,Car Mechanic Manager,InImages,"Casual, Indie",4.99,España
458600,ZRoll,KxONE,"Acción, Aventura, Casual, Indie",0.99,Estados Unidos
258090,99 Spirits,TORaIKI,"Aventura, Indie, Rol",9.75,Japón
238910,Bionic Dues,Arcen Games,"Indie, Rol, Estrategia",2.43,Países Bajos
824000,Hokko Life,Gizmo Garden,"Aventura, Casual, Indie, Rol, Simuladores",19.99,Reino Unido
404270,All My Gods,Qumaron,"Aventura, Casual, Simuladores, Estrategia",3.99,Islas Vírgenes Británicas
884430,The Magician's Burden,Hosted Games,"Aventura, Indie, Rol",5.89,España
1926270,Bloodhound,Kruger & Flint Productions,"Acción, Indie",3.99,Reino Unido
765900,Leisure Suit Larry - Magna Cum Laude Uncut and Uncensored,Assemble Entertainment,Aventura,0.0,España
115200,Cossacks II: Napoleonic Wars,GSC Game World,Estrategia,4.99,Rusia
314510,Fall of the New Age Premium Edition,Shaman Games Studio,"Aventura, Casual, Indie",6.99,España
376250,Ground Breakers,UnitedIndie,"Indie, Estrategia",0.79,México
657400,Mimic Hunter,Angry Cat Studios,"Acción, Aventura, Casual, Indie",9.99,México
486630,Toxic Terror,Fascimania,"Acción, Aventura, Indie",1.99,España
1906510,Arto,OrionGames,"Acción, Aventura, Indie, Rol",9.49,España
625370,A SECOND BEFORE US,DimleTeam,"Aventura, Indie",3.29,Suiza
3527290,PEAK,Team PEAK,"Acción, Aventura, Indie",7.49,Estados Unidos
1370050,Trek to Yomi,Leonard Menchiari,"Acción, Aventura",19.5,Italia
656910,Space Hit,Artur Rezende,"Casual, Indie",0.49,Brasil
1562420,FOREWARNED,Dreambyte Games,"Acción, Aventura, Indie",5.39,España
415910,Gigachess,Drixxel Soft,"Casual, Indie, Estrategia",3.99,México
339340,Resident Evil 0,"CAPCOM Co., Ltd.","Acción, Aventura",19.99,Japón
398030,Old School Musical,La Moutarde,"Acción, Aventura, Indie",1.29,Francia
538070,Bad Dream: Coma,Desert Fox,"Aventura, Casual, Indie",8.99,México
979690,The Ascent,Neon Giant,"Acción, Aventura, Indie, Rol",29.99,Reino Unido
599560,Ghost Files: The Face of Guilt,Brave Giant LTD,"Aventura, Casual",3.69,Reino Unido
1035050,Alt-Frequencies,Accidental Queens,Indie,0.0,España
601010,Hotel Anatolia,Elven Workshop,"Aventura, Indie, Rol",0.99,Suecia
3092090,Incremental Dice,guilemus,Casual,4.99,Suiza
667820,Farmington Tales,Playcademy,"Casual, Simuladores",4.99,España
1197570,Until We Die,Pixeye Games,"Acción, Aventura, Simuladores, Estrategia",13.99,España
459130,Love in the Glen,Sapphire Dragon Productions,"Casual, Indie, Simuladores",1.17,Hong Kong
452650,The Rebel,Clockwork Game Software,"Acción, Indie, Acceso anticipado",0.99,España
590380,Into the Breach,Subset Games,"Indie, Rol, Simuladores, Estrategia",14.99,Reino Unido
1713810,Lumencraft,2Dynamic Games,"Acción, Indie, Rol, Simuladores, Estrategia",19.99,Irlanda
228360,Full Throttle Remastered,Double Fine Productions,Aventura,14.99,Estados Unidos
776960,Mouse (Sneaking),Easy game,"Acción, Aventura, Casual, Indie",0.99,Reino Unido
1681890,Little League World Series Baseball 2022,IguanaBee,Deportes,49.99,España
214950,Total War: ROME II - Emperor Edition,CREATIVE ASSEMBLY,Estrategia,59.99,España
388880,Oxenfree,Night School Studio,"Aventura, Indie",9.75,Estados Unidos
771350,Achievement Clicker 2018,OfficialAndy,"Casual, Indie, Simuladores, Estrategia",0.99,Estados Unidos
512640,Final Quest,RPG Video,"Indie, Rol",0.99,España
844050,Desert Child,Oscar Brittain,"Acción, Indie, Carreras, Rol, Simuladores",4.71,Reino Unido
570680,Zork: Grand Inquisitor,Activision,Aventura,5.99,Estados Unidos
41000,Serious Sam HD: The First Encounter,Croteam,"Acción, Indie",14.99,Polonia
1291010,Warpips,Skirmish Mode Games,"Acción, Indie, Estrategia",14.99,España
565200,Gem Monster,keggame,"Aventura, Casual, Indie",2.99,España
725400,Forest Escape,"38,9_Degrees","Acción, Casual",0.0,Islandia
770400,Fairy of the treasures,Pink Label Games,"Casual, Indie",1.99,España
1788940,Shadows: Price For Our Sins,Creobit,Casual,14.79,España
288880,Pineview Drive,VIS-Games,"Acción, Aventura, Indie",9.75,España
351920,Crazy Machines 3,Fakt Software,"Simuladores, Estrategia",9.99,Suiza
346440,Musclecar Online,Psychic Software,"Multijugador masivo, Carreras, Deportes",0.99,Estados Unidos
409420,Knight Adventure,Syberstudio,"Acción, Aventura, Indie",0.99,España
352140,Finders,Alawar Entertainment,"Casual, Simuladores, Estrategia",5.99,Alemania
443420,Artificial Defense,"Thiemo Bolder, ONEMANGAMES","Acción, Indie, Estrategia",2.99,Alemania
564210,Fishermurs,Reward Hunters,"Acción, Indie, Multijugador masivo",4.99,Reino Unido
474910,The Mahjong Huntress,Nawia Games,"Aventura, Indie, Estrategia",4.99,España
412730,Days Under Custody,Abraham Carreola,"Aventura, Indie",4.99,México
469890,Space Codex,takk,Casual,0.99,Noruega
404700,Curvatron,Brave Bunny,"Casual, Indie",0.0,España
303510,Dungeons: The Eye of Draconus,SuckerFree Games,"Acción, Aventura, Casual, Indie",2.39,España
302490,Ballad of Solar,Alawar,"Aventura, Casual, Estrategia",6.99,Ucrania
545920,Hunting Unlimited 4,SCS Software,Simuladores,9.99,Reino Unido
228440,Cubemen 2,3 Sprockets,"Indie, Estrategia",5.99,Reino Unido
1116580,Shady Part of Me,Douze Dixièmes,Indie,14.99,Francia
277470,The Book of Legends,Aldorlea Games,"Aventura, Indie, Rol",9.75,España
384480,Six Sides of the World,Cybernetik Design,"Acción, Aventura, Casual, Indie",4.99,España
828910,aMAZE Frozen,Blender Games,"Aventura, Casual, Indie, Simuladores, Estrategia",1.99,España
846210,Sea Explorer,Armagedoom Games,"Aventura, Indie, Rol",2.39,España
1080110,F1® 2020,Codemasters,"Carreras, Simuladores, Deportes",0.0,Reino Unido
1560770,Tower of Waifus 2,Galart,"Acción, Aventura, Casual, Indie, Estrategia",1.99,España
783170,INSOMNIA: The Ark,Mono Studio,"Acción, Indie, Rol",29.99,España
805980,My Safe House,StoryTale Studios,"Acción, Indie",1.63,España
440280,Overpower,Hydrant Games,"Acción, Indie, Rol, Acceso anticipado",0.0,España
538550,Party Golf,Giant Margarita,"Indie, Deportes",14.99,México
559870,PAKO - Car Chase Simulator,Tree Men Games,"Acción, Indie, Carreras",2.39,España
573660,AereA,SOEDESCO,"Acción, Aventura, Indie, Rol",9.99,España
312840,Fahrenheit: Indigo Prophecy Remastered,Quantic Dream,"Aventura, Rol",9.99,Francia
565720,Pretty Girls Panic!,Zoo Corporation,Casual,1.99,España
251690,Speedball 2 HD,Bitmap Brothers,"Acción, Indie, Deportes",9.75,Reino Unido
99700,NightSky,"Nicalis, Inc.","Casual, Indie, Estrategia",9.99,Estados Unidos
261640,Borderlands: The Pre-Sequel,2K Australia,"Acción, Rol",39.99,Australia
465720,Demon Hunter 2: New Chapter,Brave Giant LTD,"Aventura, Casual",2.95,Reino Unido
603750,- Arcane Raise -,Arcane Raise,"Aventura, Casual, Indie, Rol, Estrategia",0.99,España
600230,Epsilon Jump Prime,Energize Labs Inc.,"Acción, Indie",3.99,Suiza
326420,Sam Glyph: Private Eye!,Narrow Monolith,"Acción, Aventura, Casual, Indie",0.79,Suiza
860790,Adventures Of Pipi 2 Save Hype,"Nikita ""Ghost_RUS""","Acción, Aventura, Casual, Indie",0.49,Rusia
1073910,Before We Leave,Balancing Monkey Games,"Casual, Indie, Simuladores, Estrategia",17.99,España
514660,BitMaster,Vladimir Shlapak,"Acción, Indie",2.99,Rusia
2521550,Shroomchitect,PUNKCAKE Delicieux,"Casual, Indie, Simuladores",5.99,Francia
339230,ZOMBI,Straight Right,"Acción, Aventura",4.99,Estados Unidos
1574870,USC: Counterforce,Angry Cat Studios,"Indie, Rol, Estrategia",19.99,México
511160,Cubway,Armnomads LLC,"Acción, Aventura, Indie",3.99,Estados Unidos
447120,Where the Water Tastes Like Wine,Dim Bulb Games,"Aventura, Indie, Rol",19.99,España
2292260,STAR WARS™: Dark Forces Remaster,Nightdive Studios,Acción,14.49,Estados Unidos
764510,Phantom Signal — Sci-Fi Strategy Game,Veslo Games,"Casual, Simuladores, Estrategia",4.99,RepúblicaCheca
368310,Marble Muse,Ketos Games,"Casual, Indie, Simuladores",0.0,España
491330,12 Labours of Hercules V: Kids of Hellas (Platinum Edition),Jetdogs Studios,"Casual, Indie, Estrategia",2.99,México
310450,Steel & Steam: Episode 1,Red Meat Games,Rol,0.0,Reino Unido
567340,The Deal,Orfeas Game Studio,"Aventura, Casual, Indie, Rol, Estrategia",9.99,Argentina
364350,The Apotheosis Project,Midian Design,"Aventura, Indie",0.99,España
2734270,Sector Unknown,Creative Storm Entertainment,Rol,24.5,México
207610,The Walking Dead,Telltale Games,Aventura,14.79,Estados Unidos
473140,BomberZone,Dracula Bytes,"Acción, Casual, Indie",6.89,Hungría
399230,Kitchen Simulator 2015,WhackAKey Games,"Acción, Aventura, Casual, Simuladores, Estrategia",0.49,España
1023970,Gun Gun Pixies,Idea Factory,Acción,49.99,Japón
48150,Voodoo Dice,Exkee,Casual,2.49,España
451000,Ember Kaboom,Josh Koenig Games,"Acción, Indie",0.99,España
205100,Dishonored,Arkane Studios,"Acción, Aventura",9.99,Estados Unidos
262260,Jets'n'Guns Gold,Rake in Grass,"Acción, Indie",7.79,Irlanda
391520,Labyrinth Simulator,Phoenix Game and Publisher Studio,"Indie, Simuladores, Acceso anticipado",4.99,España
361670,STAR WARS™ - X-Wing Alliance™,Totally Games,Acción,9.75,Canadá
483420,Adam Wolfe,Mad Head Games,"Aventura, Casual",5.99,Irlanda
655480,Solar Settlers,BrainGoodGames,Estrategia,4.49,España
849620,Trivia Vault: Celebrity Trivia,Ripknot Systems,"Acción, Casual, Simuladores, Estrategia",13.79,Suiza
551520,Last Days of Spring 2,Sapphire Dragon Productions,"Casual, Indie, Simuladores",6.89,Hong Kong
660760,Bouncing Odyssey,BigMouthedDog Studio,"Casual, Indie",1.99,Estados Unidos
331880,Truck Mechanic Simulator 2015,PlayWay SA,"Casual, Simuladores",9.99,Polonia
820240,Save One More,Stas Shostak,"Acción, Aventura, Indie",4.99,Rusia
311290,SpellForce 3 Reforced,Grimlore Games,"Rol, Estrategia",39.99,España
340330,Deity Quest,Fancy Fish Games,"Aventura, Indie, Rol, Estrategia",9.75,Malasia
396360,LocoSoccer Classic,Startreming Games,"Indie, Deportes, Estrategia",0.99,Reino Unido
298830,Millennium 3 - Cry Wolf,Aldorlea Games,"Aventura, Casual, Indie, Rol",9.99,España
